id,x,y,z,yaw,pitch,roll
1,-285.14,226.366,-12.5826,2.45064,0.0138751,0.0377325
2,-285.14,226.366,-12.5826,2.45064,0.0138751,0.0377325
3,-285.37,226.567,-12.5783,2.45098,0.0136,0.0344438
4,-285.592,226.769,-12.5817,2.45164,0.0126839,0.0326492
5,-285.807,226.956,-12.5937,2.45269,0.0117961,0.0309976
6,-286.024,227.151,-12.5984,2.45272,0.0113307,0.0304917
7,-286.238,227.339,-12.5974,2.45243,0.0108764,0.030773
8,-286.44,227.517,-12.5927,2.45297,0.0101284,0.0308896
9,-286.65,227.696,-12.5973,2.454,0.00854062,0.0308781
10,-286.853,227.876,-12.602,2.45355,0.00723559,0.0315246
11,-287.058,228.045,-12.6016,2.45368,0.0022372,0.0340099
12,-287.253,228.21,-12.6055,2.45402,-0.00193053,0.0359007
13,-287.442,228.384,-12.6216,2.45335,-0.00428877,0.037806
14,-287.623,228.539,-12.6322,2.45295,-0.00333245,0.0392054
15,-287.811,228.7,-12.638,2.45346,-0.00143158,0.0395795
16,-287.989,228.857,-12.6369,2.4536,-0.000299419,0.0399487
17,-288.163,229.009,-12.6458,2.45414,-0.000477874,0.0409993
18,-288.337,229.159,-12.6625,2.45476,0.00180523,0.0415661
19,-288.509,229.306,-12.6662,2.4558,0.0052853,0.0413462
20,-288.672,229.448,-12.6637,2.45582,0.00664916,0.0389404
21,-288.832,229.589,-12.6606,2.45598,0.00673206,0.0362482
22,-288.991,229.729,-12.6644,2.45654,0.00615964,0.0362395
23,-289.141,229.859,-12.6734,2.45646,0.00708055,0.037745
24,-289.289,229.983,-12.6832,2.45626,0.0100486,0.0392727
25,-289.435,230.112,-12.6866,2.45687,0.0130393,0.0402801
26,-289.582,230.234,-12.6856,2.45795,0.0148859,0.0425367
27,-289.729,230.37,-12.683,2.4583,0.0152128,0.0436172
28,-289.873,230.485,-12.6806,2.45726,0.014418,0.0437266
29,-290.017,230.615,-12.6803,2.458,0.0120772,0.0438824
30,-290.146,230.739,-12.6872,2.45914,0.00997965,0.0428759
31,-290.279,230.851,-12.6862,2.45923,0.00890073,0.0420608
32,-290.414,230.965,-12.6784,2.4602,0.0061872,0.0409562
33,-290.544,231.081,-12.6856,2.45993,0.00193226,0.042469
34,-290.677,231.186,-12.681,2.45927,-0.000517594,0.0421254
35,-290.806,231.305,-12.6435,2.45882,-0.00713236,0.0400532
36,-290.924,231.405,-12.6389,2.45843,-0.0142397,0.0406688
